Date,Close,Dividends,High,Low,Open,Stock Splits,Volume\n
2019-05-22,10.7838573456,0,10.9915870461,10.6754769693,10.9825551328,0,12847100\n
2019-05-23,10.8019237518,0,11.0548113569,10.8019237518,10.8561143836,0,13787100\n
2019-05-24,10.7928924561,0,10.8380511749,10.6122584421,10.8380511749,0,11025500\n
2019-05-28,10.6032266617,0,10.7025760166,10.521941139,10.5670998584,0,10656200\n
2019-05-29,10.6122570038,0,10.8109548229,10.5941931742,10.5941931742,0,11073100\n
2019-05-30,10.6847581863,0.04,10.7572585971,10.5669448028,10.6575707484,0,9274600\n
2019-05-31,11.2557001114,0,11.2919503185,10.8660097367,10.8841352724,0,18191900\n
2019-06-03,11.8628892899,0,11.9353896892,11.39163583,11.409761362,0,25227100\n
2019-06-04,11.9716405869,0,11.9897652556,11.6907008749,11.7632012785,0,14788000\n
2019-06-05,11.9897661209,0,12.2707058531,11.726951923,12.1891426772,0,18005200\n
2019-06-06,12.2435178757,0,12.3885186868,11.899140517,11.9716409226,0,20800800\n
2019-06-07,12.2707052231,0,12.4157060332,12.198204818,12.3160181923,0,16418200\n
2019-06-10,12.1891412735,0,12.2163287076,11.9625773061,12.0078902724,0,9088700\n
2019-06-11,12.2797660828,0,12.3703911429,12.089452333,12.1166397646,0,10275100\n
2019-06-12,12.4428920746,0,12.4972678044,12.3250795778,12.3522670106,0,16699700\n
2019-06-13,12.560708046,0,12.5788335811,12.2978938364,12.4428946604,0,11794400\n
2019-06-14,12.5969572067,0,12.7510207855,12.4610191616,12.6966459132,0,14865000\n
2019-06-17,12.8235216141,0,12.8507099154,12.5153953106,12.587895719,0,12948800\n
2019-06-18,13.0228977203,0,13.0863353594,12.7419588637,12.9685228481,0,19722100\n
2019-06-19,13.122584343,0,13.1769600744,12.6694564162,12.7872697809,0,22488300\n
2019-06-20,13.8657159805,0,14.1194674004,13.5213386215,13.5304013882,0,31598900\n
2019-06-21,14.1375923157,0,14.237280153,13.7660266725,13.8657153742,0,26988900\n
2019-06-24,14.7175970078,0,14.7447853096,14.2010313722,14.2463443444,0,28200600\n
2019-06-25,14.5091571808,0,14.9079102612,14.2463430041,14.7719704932,0,29053900\n
2019-06-26,14.3732194901,0,14.500095638,13.7932162177,13.820403655,0,20379200\n
2019-06-27,14.2282180786,0,14.2735310484,13.9110290183,14.1375930032,0,20579600\n
2019-06-28,14.2916555405,0,14.3732178431,14.0560288059,14.3097802085,0,11320500\n
2019-07-01,13.5847759247,0,13.8657156379,13.45790065,13.7750897009,0,21408600\n
2019-07-02,14.128528595,0,14.2644666244,13.6663379121,13.7025881109,0,20287000\n
